project_id,service,sku_description,usage_start_time,usage_end_time,usage_amount,cost
project-alpha,Compute Engine,n2-highmem-8,2025-03-01,2025-03-01,12.04,24.0
project-alpha,Cloud Storage,Egress,2025-03-01,2025-03-01,19.09,6.09
project-alpha,BigQuery,Query Processing,2025-03-01,2025-03-01,24.29,21.48
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-01,2025-03-01,29.42,14.38
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-01,2025-03-01,32.84,6.65
project-beta,Compute Engine,n2-highmem-8,2025-03-01,2025-03-01,34.55,55.89
project-beta,Cloud Storage,Standard Storage,2025-03-01,2025-03-01,6.67,10.47
project-beta,BigQuery,Query Processing,2025-03-01,2025-03-01,20.53,40.74
project-beta,Cloud SQL,db-f1-micro,2025-03-01,2025-03-01,12.16,19.08
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-01,2025-03-01,36.25,64.69
project-alpha,Compute Engine,n2-standard-4,2025-03-02,2025-03-02,10.24,15.49
project-alpha,Cloud Storage,Nearline Storage,2025-03-02,2025-03-02,18.73,20.03
project-alpha,BigQuery,Active Storage,2025-03-02,2025-03-02,3.72,2.32
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-02,2025-03-02,16.32,9.17
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-02,2025-03-02,32.34,58.56
project-beta,Compute Engine,n2-highmem-8,2025-03-02,2025-03-02,13.46,7.44
project-beta,Cloud Storage,Nearline Storage,2025-03-02,2025-03-02,5.4,8.19
project-beta,BigQuery,Query Processing,2025-03-02,2025-03-02,11.92,6.31
project-beta,Cloud SQL,db-n1-standard-2,2025-03-02,2025-03-02,41.98,26.7
project-beta,Kubernetes Engine,GKE Nodes,2025-03-02,2025-03-02,40.5,37.71
project-alpha,Compute Engine,e2-standard-2,2025-03-03,2025-03-03,12.2,17.38
project-alpha,Cloud Storage,Standard Storage,2025-03-03,2025-03-03,46.45,23.57
project-alpha,BigQuery,Query Processing,2025-03-03,2025-03-03,20.37,24.94
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-03,2025-03-03,8.9,12.16
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-03,2025-03-03,24.48,47.38
project-beta,Compute Engine,e2-standard-2,2025-03-03,2025-03-03,28.08,33.87
project-beta,Cloud Storage,Standard Storage,2025-03-03,2025-03-03,17.13,26.76
project-beta,BigQuery,Query Processing,2025-03-03,2025-03-03,10.52,12.76
project-beta,Cloud SQL,db-n1-standard-2,2025-03-03,2025-03-03,11.37,5.65
project-beta,Kubernetes Engine,GKE Nodes,2025-03-03,2025-03-03,16.27,2.87
project-alpha,Compute Engine,n2-highmem-8,2025-03-04,2025-03-04,46.26,50.86
project-alpha,Cloud Storage,Nearline Storage,2025-03-04,2025-03-04,32.43,48.0
project-alpha,BigQuery,Active Storage,2025-03-04,2025-03-04,43.98,19.68
project-alpha,Cloud SQL,db-f1-micro,2025-03-04,2025-03-04,38.96,4.4
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-04,2025-03-04,47.49,34.27
project-beta,Compute Engine,n2-highmem-8,2025-03-04,2025-03-04,48.92,80.73
project-beta,Cloud Storage,Nearline Storage,2025-03-04,2025-03-04,39.02,6.18
project-beta,BigQuery,Active Storage,2025-03-04,2025-03-04,34.47,11.39
project-beta,Cloud SQL,db-n1-standard-2,2025-03-04,2025-03-04,24.06,45.9
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-04,2025-03-04,23.16,37.07
project-alpha,Compute Engine,n2-highmem-8,2025-03-05,2025-03-05,33.06,6.79
project-alpha,Cloud Storage,Egress,2025-03-05,2025-03-05,30.51,25.08
project-alpha,BigQuery,Query Processing,2025-03-05,2025-03-05,28.25,22.52
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-05,2025-03-05,30.53,12.94
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-05,2025-03-05,26.0,21.67
project-beta,Compute Engine,n2-highmem-8,2025-03-05,2025-03-05,11.3,18.04
project-beta,Cloud Storage,Standard Storage,2025-03-05,2025-03-05,19.33,16.21
project-beta,BigQuery,Active Storage,2025-03-05,2025-03-05,21.06,5.62
project-beta,Cloud SQL,db-f1-micro,2025-03-05,2025-03-05,10.29,15.8
project-beta,Kubernetes Engine,GKE Nodes,2025-03-05,2025-03-05,8.54,7.34
project-alpha,Compute Engine,e2-standard-2,2025-03-06,2025-03-06,48.82,40.29
project-alpha,Cloud Storage,Standard Storage,2025-03-06,2025-03-06,3.85,5.19
project-alpha,BigQuery,Query Processing,2025-03-06,2025-03-06,38.03,7.33
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-06,2025-03-06,14.32,12.35
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-06,2025-03-06,30.3,11.23
project-beta,Compute Engine,e2-standard-2,2025-03-06,2025-03-06,21.26,42.43
project-beta,Cloud Storage,Nearline Storage,2025-03-06,2025-03-06,49.99,81.34
project-beta,BigQuery,Query Processing,2025-03-06,2025-03-06,34.82,67.38
project-beta,Cloud SQL,db-f1-micro,2025-03-06,2025-03-06,7.13,13.6
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-06,2025-03-06,36.86,69.27
project-alpha,Compute Engine,n2-highmem-8,2025-03-07,2025-03-07,17.16,21.3
project-alpha,Cloud Storage,Standard Storage,2025-03-07,2025-03-07,32.21,17.73
project-alpha,BigQuery,Active Storage,2025-03-07,2025-03-07,8.05,3.99
project-alpha,Cloud SQL,db-f1-micro,2025-03-07,2025-03-07,39.12,20.2
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-07,2025-03-07,12.49,23.11
project-beta,Compute Engine,n2-highmem-8,2025-03-07,2025-03-07,30.33,57.96
project-beta,Cloud Storage,Egress,2025-03-07,2025-03-07,21.93,30.73
project-beta,BigQuery,Query Processing,2025-03-07,2025-03-07,17.82,33.54
project-beta,Cloud SQL,db-n1-standard-2,2025-03-07,2025-03-07,7.83,8.69
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-07,2025-03-07,27.76,54.59
project-alpha,Compute Engine,n2-highmem-8,2025-03-08,2025-03-08,27.83,49.05
project-alpha,Cloud Storage,Nearline Storage,2025-03-08,2025-03-08,29.17,58.26
project-alpha,BigQuery,Query Processing,2025-03-08,2025-03-08,16.1,28.57
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-08,2025-03-08,8.49,9.49
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-08,2025-03-08,25.43,42.83
project-beta,Compute Engine,n2-standard-4,2025-03-08,2025-03-08,31.8,30.34
project-beta,Cloud Storage,Egress,2025-03-08,2025-03-08,33.46,16.2
project-beta,BigQuery,Active Storage,2025-03-08,2025-03-08,26.3,51.67
project-beta,Cloud SQL,db-n1-standard-2,2025-03-08,2025-03-08,48.39,54.85
project-beta,Kubernetes Engine,GKE Nodes,2025-03-08,2025-03-08,4.88,9.3
project-alpha,Compute Engine,e2-standard-2,2025-03-09,2025-03-09,47.29,13.89
project-alpha,Cloud Storage,Standard Storage,2025-03-09,2025-03-09,9.73,11.13
project-alpha,BigQuery,Query Processing,2025-03-09,2025-03-09,47.11,48.41
